foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Cream, half and half, fat free",cup,6.29,3.39,21.78,12.10,0.00,2.04,232.31,241.99
"Cream, half and half, fat free",tablespoon,0.39,0.21,1.36,0.76,0.00,0.13,14.50,15.10
"Cream, heavy (whipping cream)",cup,4.88,88.06,6.64,6.64,0.00,54.81,154.69,90.44
"Cream, heavy (whipping cream)",tablespoon,0.31,5.51,0.42,0.42,0.00,3.43,9.69,5.66
"Cream, heavy, whipped, unsweetened",cup,2.44,44.03,3.32,3.32,0.00,27.41,77.34,45.22
"Cream, heavy, whipped, unsweetened",tablespoon,0.15,2.74,0.21,0.21,0.00,1.70,4.81,2.81
"Cream, heavy, whipped, sweetened",cup,2.30,41.42,10.16,10.02,0.00,25.78,72.58,42.84
"Cream, heavy, whipped, sweetened",tablespoon,0.14,2.58,0.63,0.62,0.00,1.60,4.51,2.66
"Cream, whipped, pressurized container",cup,1.92,13.33,7.49,4.80,0.00,8.30,60.60,4.80
"Cream, whipped, pressurized container",tablespoon,0.12,0.84,0.47,0.30,0.00,0.53,3.84,0.30
"Cream, whipped, pressurized container, light",cup,2.05,14.22,7.99,5.12,0.00,8.85,64.64,5.12
"Cream, whipped, pressurized container, light",tablespoon,0.13,0.89,0.50,0.32,0.00,0.55,4.04,0.32
"Cream, whipped, pressurized container, fat free",cup,1.92,3.20,16.00,10.24,0.26,1.84,69.12,46.08
"Cream, whipped, pressurized container, fat free",tablespoon,0.12,0.20,1.00,0.64,0.02,0.11,4.32,2.88
"Coffee creamer, liquid",cup,2.40,23.93,27.31,27.31,0.00,4.65,21.60,160.79
"Coffee creamer, liquid",tablespoon,0.15,1.50,1.71,1.71,0.00,0.29,1.35,10.05
"Coffee creamer, flavored, liquid",cup,1.66,32.40,84.16,79.29,2.64,6.32,14.40,160.79
"Coffee creamer, flavored, liquid",tablespoon,0.10,2.03,5.26,4.96,0.17,0.40,0.90,10.05
"Coffee creamer, light, liquid",cup,1.94,8.47,22.02,22.02,0.00,2.17,2.42,145.19
"Coffee creamer, light, liquid",tablespoon,0.12,0.53,1.37,1.37,0.00,0.14,0.15,9.06
"Coffee creamer, powdered",packet,0.14,1.06,1.65,1.65,0.00,0.98,0.66,3.69
"Coffee creamer, powdered",teaspoon,0.10,0.71,1.10,1.10,0.00,0.65,0.44,2.46
"Coffee creamer, light, powdered",packet,0.06,0.47,2.20,2.20,0.00,0.11,0.03,6.87
"Coffee creamer, light, powdered",teaspoon,0.04,0.31,1.47,1.47,0.00,0.08,0.02,4.58
"Coffee creamer, flavored, powdered",packet,0.02,0.64,2.26,1.74,0.04,0.58,0.15,3.69
"Coffee creamer, flavored, powdered",teaspoon,0.01,0.43,1.51,1.16,0.02,0.39,0.10,2.46
Cool Whip pressurized can,tablespoon,0.04,0.98,0.71,0.71,0.00,0.83,0.22,2.73
Cool Whip frozen,tablespoon,0.06,1.19,1.08,1.08,0.00,1.02,0.28,1.18
Cool Whip Lite frozen,tablespoon,0.14,0.62,1.11,1.11,0.00,0.53,3.34,3.38
Cool Whip Free frozen,tablespoon,0.14,0.24,1.18,0.75,0.02,0.13,5.08,3.38
Cool Whip Sugar Free frozen ,tablespoon,0.14,0.62,1.11,1.11,0.00,0.53,3.34,3.38
Dream Whip ,tablespoon,0.18,0.64,0.86,0.86,0.00,0.53,4.50,3.30
Sour cream,tablespoon,0.30,2.84,0.41,0.41,0.00,1.66,15.84,6.77
"Sour cream, half and half",tablespoon,0.44,1.80,0.64,0.02,0.00,1.12,15.60,13.35
"Sour cream, half and half",ounce(s),0.83,3.39,1.20,0.05,0.00,2.11,29.38,25.14
"Sour cream, half and half",container (8 oz),6.64,27.12,9.63,0.36,0.00,16.88,235.03,201.13
"Sour cream, reduced fat",tablespoon,1.12,2.26,1.12,0.05,0.00,1.39,22.56,11.20
"Sour cream, reduced fat",ounce(s),1.98,3.98,1.98,0.08,0.00,2.46,39.83,19.78
"Sour cream, reduced fat",container (8 oz),15.82,31.86,15.82,0.68,0.00,19.66,318.65,158.19
"Sour cream, light",tablespoon,0.56,1.70,1.14,0.04,0.00,1.06,22.56,13.28
"Sour cream, light",teaspoon,0.19,0.56,0.38,0.01,0.00,0.35,7.52,4.42
"Sour cream, light",ounce(s),0.99,2.99,2.01,0.06,0.00,1.86,39.83,23.45
"Sour cream, light",container (8 oz),7.91,23.95,16.04,0.50,0.00,14.91,318.65,187.57
Nonfat sour cream ,tablespoon,0.50,0.00,2.50,0.06,0.00,0.00,20.00,22.56
Nonfat sour cream ,ounce(s),0.88,0.00,4.41,0.11,0.00,0.00,35.31,39.83
