foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Vegetable blends (medley), cooked with butter",cup,2.87,4.18,12.12,3.53,4.12,2.38,36.73,387.18
"Vegetable blends (medley), cooked with vegetable oil ",cup,2.83,4.85,12.13,3.54,4.12,0.65,35.71,362.06
"Vegetable-pasta combo, with cream or cheese sauce, cooked with margarine",cup,6.01,8.62,20.56,4.18,3.73,2.34,90.72,664.20
"Vegetable-pasta combo, with cream or cheese sauce, cooked with margarine",Garden Gourmet Fettuccine Primavera (9.5 oz),9.98,14.31,34.14,6.94,6.19,3.89,150.64,1102.90
"Vegetable-pasta combo, with cream or cheese sauce, cooked with butter",cup,6.06,8.63,20.51,4.18,3.73,4.44,92.34,657.72
"Vegetable-pasta combo, with cream or cheese sauce, cooked with butter",Garden Gourmet Fettuccine Primavera (9.5 oz),10.06,14.34,34.06,6.94,6.19,7.38,153.33,1092.14
"Vegetable-pasta combo, with cream or cheese sauce, cooked without fat",cup,6.20,4.07,21.19,4.31,3.89,1.51,93.96,641.52
"Vegetable-pasta combo, with cream or cheese sauce, cooked without fat",Garden Gourmet Fettuccine Primavera (9.5 oz),10.30,6.75,35.19,7.16,6.46,2.51,156.02,1065.24
"Jai, Monk's Food (mushrooms, lily roots, bean curd, water chestnuts)",cup,8.99,3.68,29.48,2.22,4.70,0.57,103.39,28.20
"Pinacbet (eggplant with tomatoes, bitter melon, etc.)",cup,2.27,5.41,11.34,5.54,2.57,0.71,29.96,674.10
"Vegetable mixture, dried",tablespoon,1.06,0.53,3.27,1.37,1.10,0.07,15.24,21.42
"Vegetable mixture, dried",teaspoon,0.35,0.18,1.09,0.46,0.37,0.02,5.08,7.14
"Artichokes, stuffed",cup,3.33,3.44,12.99,1.30,3.13,0.81,54.28,233.64
"Asparagus, fresh, creamed or with cheese sauce",cup,11.94,14.24,11.70,4.54,3.29,6.79,277.30,366.60
"Asparagus, frozen, creamed or with cheese sauce",cup,12.81,14.55,8.30,3.01,2.59,6.87,267.90,350.15
"Asparagus, canned, creamed or with cheese sauce",cup,10.32,12.41,8.51,3.85,2.82,5.72,223.25,770.80
"Beans, green (string), fresh, creamed or with cheese sauce",cup,12.47,17.28,16.85,5.11,4.33,8.26,351.10,419.50
"String beans, frozen, creamed or with cheese sauce",cup,11.56,16.39,14.96,4.58,4.10,7.88,337.43,401.26
"String beans, canned, creamed or with cheese sauce",cup,10.62,15.50,11.79,4.58,3.65,7.36,314.63,722.73
"String beans, fresh, cooked with mushroom sauce",cup,4.10,6.16,16.12,3.24,3.88,1.33,86.64,715.89
"String beans, frozen, cooked with mushroom sauce",cup,3.69,5.84,14.66,2.92,3.88,1.27,84.36,690.81
"String beans, canned, cooked with mushroom sauce",cup,3.42,5.75,12.17,2.99,3.42,1.25,79.80,927.92
"String beans, cooked, Szechuan-style, with vegetable oil",cup,4.40,12.28,15.23,5.68,5.18,1.65,83.25,429.20
"String beans, cooked, Szechuan-style, with vegetable oil",portion (10 beans),0.64,1.79,2.22,0.83,0.76,0.24,12.15,62.64
Beets with Harvard sauce,cup,2.90,7.97,53.65,47.43,3.44,1.49,31.98,597.76
Beets with Harvard sauce (no fat added) ,cup,3.00,0.32,55.62,49.22,3.69,0.05,31.98,546.10
"Cabbage, creamed",cup,4.86,9.70,14.30,7.00,2.20,2.59,160.00,610.00
"Cauliflower, creamed",cup,12.45,17.58,11.88,5.79,3.19,8.31,314.63,440.02
"Cauliflower, batter-dipped, fried with vegetable oil",cup,3.30,13.44,11.90,0.99,1.36,2.34,37.40,156.40
"Celery, creamed",cup,4.99,11.17,14.43,7.46,2.28,3.00,173.27,766.05
"Chiles rellenos, cheese-filled (stuffed chili peppers)",cup,18.97,29.29,11.07,3.71,1.94,11.95,397.76,543.84
"Chiles rellenos, cheese-filled (stuffed chili peppers)",chili,15.41,23.79,8.99,3.02,1.57,9.71,323.16,441.84
"Chiles rellenos, filled with meat and cheese (stuffed chili peppers)",cup,19.20,25.68,12.50,3.85,2.11,8.71,220.00,626.56
"Chiles rellenos, filled with meat and cheese (stuffed chili peppers)",chili,15.60,20.86,10.15,3.13,1.72,7.08,178.74,509.04
"Jalapeno pepper, stuffed with cheese, breaded or battered, fried",jalapeno pepper,2.22,3.87,4.04,0.94,0.63,1.45,30.75,109.75
"Corn, scalloped or pudding",cup,10.36,10.81,33.90,9.33,2.78,2.92,94.16,674.10
Corn fritter,fritter,2.74,7.38,14.01,0.93,0.70,1.88,43.05,162.05
"Corn, cooked, with cream sauce made with milk",cup,8.28,13.91,34.27,10.17,2.96,3.50,139.07,408.10
"Eggplant, batter-dipped, fried",cup,5.26,23.67,25.74,7.48,6.16,4.16,66.00,136.40
"Eggplant, batter-dipped, fried","slice (3"" across, 1/2"" thick)",1.20,5.38,5.85,1.70,1.40,0.94,15.00,31.00
Eggplant dip,tablespoon,0.60,1.93,1.63,0.35,0.53,0.27,13.87,31.97
Eggplant parmesan casserole,cup,14.12,22.04,16.08,6.12,3.56,8.34,340.56,698.94
Eggplant parmesan casserole,"slice (3"" across, 1/2"" thick)",3.14,4.90,3.57,1.36,0.79,1.85,75.68,155.32
"Mushrooms, creamed",cup,6.31,10.83,15.23,7.05,2.82,2.83,121.51,345.01
"Mushrooms, stuffed",cup,21.85,28.08,49.57,8.02,4.37,7.94,311.58,1151.34
"Mushrooms, stuffed",stuffed cap,2.76,3.55,6.26,1.01,0.55,1.00,39.36,145.44
"Mushrooms, batter-dipped, fried in vegetable oil",cup,4.48,7.50,20.03,1.15,1.21,1.11,9.38,322.94
"Mushrooms, batter-dipped, fried in vegetable oil",medium,0.47,0.78,2.09,0.12,0.13,0.12,0.98,33.74
"Okra, batter-dipped, fried in vegetable oil",cup,4.44,8.00,22.69,1.13,2.58,1.27,52.44,158.24
"Okra, batter-dipped, fried in vegetable oil",piece,0.36,0.65,1.85,0.09,0.21,0.10,4.28,12.90
"Onion, creamed",cup,5.20,9.32,22.30,10.49,2.28,2.47,132.23,305.51
"Onion rings, fresh, batter-dipped, baked or fried",order,5.90,16.72,27.18,4.15,1.38,2.36,79.12,405.06
"Onion rings, fresh, batter-dipped, baked or fried","medium ring (2"" - 3"" across)",0.41,1.17,1.90,0.29,0.10,0.16,5.52,28.26
"Parsnips, creamed",cup,5.54,11.13,30.73,10.49,4.79,2.95,166.43,652.05
"Pea salad, with mayonnaise",cup,6.51,30.17,21.89,11.28,5.78,4.73,55.64,575.66
"Pea salad, with fat free mayonnaise-type dressing (Miracle Whip Free)",cup,9.81,4.35,27.84,13.49,7.68,1.14,47.26,600.86
"Pea salad, with mayonnaise-type dressing (Miracle Whip)",cup,10.39,20.39,32.13,11.26,6.77,3.39,52.20,536.81
"Peas, frozen, creamed",cup,11.17,11.74,29.35,11.05,7.81,3.12,158.59,478.22
"Squash, yellow, breaded or battered, baked",cup,6.27,1.89,27.90,3.01,1.98,0.54,33.00,255.20
"Squash, yellow, breaded or battered, baked",slice,0.40,0.12,1.78,0.19,0.13,0.03,2.10,16.24
"Squash, yellow, breaded or battered, baked",stick,0.26,0.08,1.14,0.12,0.08,0.02,1.35,10.44
"Squash, yellow, breaded or battered, fried",cup,5.96,29.04,26.51,2.86,1.98,4.08,30.80,244.20
"Squash, yellow, breaded or battered, fried",slice,0.38,1.85,1.69,0.18,0.13,0.26,1.96,15.54
"Squash, yellow, breaded or battered, fried","stick (3"" long)",0.24,1.19,1.08,0.12,0.08,0.17,1.26,9.99
"Squash, yellow, casserole with tomato and cheese",cup,5.73,10.48,9.31,6.60,2.17,6.23,316.81,394.92
"Squash, yellow, with rice and tomato sauce",cup,3.28,0.61,22.20,6.10,2.80,0.13,44.27,587.16
"Squash, yellow, casserole, with cheese sauce",cup,7.51,10.11,18.79,6.68,2.60,4.05,199.63,329.82
"Squash, yellow, fresh, creamed",cup,4.58,9.85,13.67,7.20,1.95,2.62,138.87,316.81
"Squash, yellow, souffle",cup,6.05,11.87,9.36,4.00,1.09,6.61,87.04,331.84
"Turnip, creamed",cup,4.75,10.78,15.57,8.16,2.71,2.88,160.45,375.14
"Christophine (chayote), creamed, Puerto Rican style","portion (1/2 chayote, 4-1/2"" x 3-1/2"" x 1-1/2"", no shell)",2.36,4.38,26.82,18.62,1.61,1.29,47.08,299.60
Vegetable stew without meat,cup,6.38,2.32,23.11,4.61,4.06,1.06,38.24,540.14
"Chop suey, meatless, no noodles",cup,2.95,3.70,12.63,5.79,2.64,0.64,55.00,756.80
"Vegetable blends (medley), cooked with soy-based sauce",cup,3.33,15.41,13.02,4.42,3.51,2.06,57.35,645.65
"Vegetable sticks, breaded, fried ",cup,4.73,9.43,34.30,2.57,3.13,1.69,25.52,723.78
"Vegetable sticks, breaded, fried ","stick (2-1/2"" x 5/8"" x 1/2"")",0.57,1.14,4.14,0.31,0.38,0.20,3.08,87.36
"Vegetable tempura, fried in partially hydrogenated vegetable oil ",fritter,1.08,4.56,5.91,0.46,0.48,0.66,6.30,3.60
"Vegetable tempura, fried in partially hydrogenated vegetable oil ",piece,0.25,1.06,1.38,0.11,0.11,0.15,1.47,0.84
"Vegetable blends (medley), cooked with cheese sauce",cup,9.39,6.36,22.16,7.07,6.16,3.15,177.83,1714.48
Vegetable curry,cup,5.10,6.70,21.47,4.51,5.43,0.94,82.60,191.15
"Vegetable blends (medley), cooked with cream sauce",cup,6.54,11.81,17.78,7.71,4.10,3.13,166.43,743.25
Vegetable blends (medley) with pasta,cup,5.11,0.77,22.55,3.77,3.70,0.14,34.25,728.84
Vegetable blends (medley) with pasta and butter sauce,cup,6.80,7.80,29.90,4.79,4.93,4.50,45.31,1030.31
"Beans, string (green), pickled",cup,2.13,0.26,8.22,3.83,3.10,0.06,44.55,346.95
"Beets, pickled","cup, sliced",1.35,0.14,27.51,22.97,4.39,0.02,18.59,446.16
"Celery, pickled",cup,0.92,0.23,4.04,2.46,2.10,0.06,51.00,384.00
Corn relish,cup,4.21,1.35,46.60,24.45,3.92,0.18,34.30,926.10
"Cauliflower, pickled",cup,1.85,0.38,11.95,8.30,2.13,0.07,25.00,232.50
"Cabbage, fresh, pickled, Japanese style",cup,2.40,0.15,8.50,1.95,4.65,0.02,72.00,415.50
"Cabbage, red, pickled",cup,0.92,0.12,56.07,52.88,1.20,0.02,72.00,31.50
"Cabbage, Kimchi (Kim Chee) style",cup,2.86,0.63,4.26,1.85,1.20,0.13,96.00,255.00
"Cabbage, mustard, salted",cup,1.41,0.13,7.21,1.79,3.97,0.02,85.76,917.76
"Pickle, dill",cup,0.93,0.22,4.01,2.03,1.71,0.06,65.10,1356.25
"Pickle, dill","medium pickle (3-3/4"" long)",0.39,0.09,1.68,0.85,0.72,0.02,27.30,568.75
"Pickle, dill",slice,0.04,0.01,0.18,0.09,0.08,0.00,2.94,61.25
"Pickle, dill",spear,0.21,0.05,0.91,0.46,0.39,0.01,14.70,306.25
"Pickle, dill",stacker,0.08,0.02,0.36,0.18,0.15,0.01,5.88,122.50
"Pickle, relish",cup,0.91,1.15,85.90,71.37,2.70,0.13,7.35,1986.95
"Pickle, relish",packet (2/3 tablespoon),0.04,0.05,3.51,2.91,0.11,0.01,0.30,81.10
"Pickle, sour",cup,0.51,0.31,3.50,1.64,1.86,0.08,0.00,1872.40
"Pickle, sour","medium pickle (3-3/4"" long)",0.21,0.13,1.47,0.69,0.78,0.03,0.00,785.20
"Pickle, sour",slice,0.02,0.01,0.16,0.07,0.08,0.00,0.00,84.56
"Pickle, sour",spear,0.10,0.06,0.68,0.32,0.36,0.02,0.00,362.40
"Pickle, sweet","cup, chopped",0.93,0.66,33.84,29.23,1.60,0.11,97.60,731.20
"Pickle, sweet","cup, sliced",0.89,0.63,32.36,27.95,1.53,0.10,93.33,699.21
"Pickle, sweet","medium gherkin (2-3/4"" long)",0.15,0.10,5.29,4.57,0.25,0.02,15.25,114.25
"Pickle, sweet","midget gherkin (2-1/8"" long)",0.03,0.02,1.27,1.10,0.06,0.00,3.66,27.42
"Pickle, sweet",slice,0.04,0.03,1.59,1.37,0.08,0.01,4.58,34.28
"Pickle, sweet",spear,0.12,0.08,4.23,3.65,0.20,0.01,12.20,91.40
"Eggplant, pickled",cup,1.22,0.95,13.29,6.53,3.40,0.19,34.00,2276.64
Horseradish,tablespoon,0.18,0.10,1.69,1.20,0.49,0.01,8.40,63.00
Mustard pickles,cup,3.68,2.21,65.27,58.51,3.68,0.37,56.35,1291.15
"Pickle, dill, reduced salt","cup, chopped",0.47,0.29,3.23,1.52,1.72,0.07,0.00,25.74
"Pickle, dill, reduced salt","cup, sliced",0.51,0.31,3.50,1.64,1.86,0.08,0.00,27.90
"Pickle, dill, reduced salt",cup,0.51,0.31,3.50,1.64,1.86,0.08,0.00,27.90
"Pickle, dill, reduced salt","medium pickle (3-3/4"" long)",0.21,0.13,1.47,0.69,0.78,0.03,0.00,11.70
"Pickle, dill, reduced salt",slice,0.02,0.01,0.14,0.06,0.07,0.00,0.00,1.08
"Pickle, dill, reduced salt",spear,0.10,0.06,0.68,0.32,0.36,0.02,0.00,5.40
"Pickle, dill, reduced salt",spear,0.10,0.06,0.68,0.32,0.36,0.02,0.00,5.40
"Pickle, sweet, reduced salt","cup, chopped",0.59,0.42,53.97,42.69,1.76,0.11,6.40,28.80
"Pickle, sweet, reduced salt","cup, chopped or diced",0.59,0.42,53.97,42.69,1.76,0.11,6.40,28.80
"Pickle, sweet, reduced salt","cup, sliced",0.63,0.44,57.34,45.36,1.87,0.11,6.80,30.60
"Pickle, sweet, reduced salt",medium,0.09,0.07,8.43,6.67,0.28,0.02,1.00,4.50
"Pickle, sweet, reduced salt","medium pickle (3-3/4"" long)",0.09,0.07,8.43,6.67,0.28,0.02,1.00,4.50
"Pickle, sweet, reduced salt",slice,0.02,0.02,2.02,1.60,0.07,0.00,0.24,1.08
"Mushrooms, pickled",cup,4.13,0.45,4.51,2.71,1.40,0.07,4.68,351.00
"Mushrooms, pickled",medium,0.32,0.03,0.35,0.21,0.11,0.01,0.36,27.00
"Mushrooms, pickled",portion (8 caps),1.25,0.14,1.36,0.82,0.42,0.02,1.41,105.75
Mustard,cup,10.88,9.98,13.27,2.14,8.22,0.62,144.42,2826.15
Mustard,tablespoon,0.66,0.60,0.80,0.13,0.49,0.04,8.70,170.25
Mustard,teaspoon,0.22,0.20,0.27,0.04,0.16,0.01,2.90,56.75
Mustard,packet,0.22,0.20,0.27,0.04,0.16,0.01,2.90,56.75
Mustard sauce,cup,2.85,28.77,40.61,38.35,1.28,4.12,35.20,827.20
Mustard sauce,tablespoon,0.18,1.80,2.54,2.40,0.08,0.26,2.20,51.70
"Okra, pickled",pod,0.18,0.02,0.71,0.14,0.30,0.00,7.48,24.86
"Olives, green","cup, sliced or chopped",1.37,20.38,5.11,0.72,4.39,2.70,69.16,2069.48
"Olives, green","cup, whole",1.51,22.52,5.64,0.79,4.85,2.98,76.44,2287.32
"Olives, green",giant,0.07,1.01,0.25,0.04,0.22,0.13,3.43,102.70
"Olives, green",medium,0.04,0.52,0.13,0.02,0.11,0.07,1.77,52.90
"Olives, black","cup, sliced",1.19,12.88,8.18,0.00,4.05,1.70,121.50,992.25
"Olives, black","cup, whole",1.29,14.02,8.91,0.00,4.41,1.86,132.30,1080.45
"Olives, black",Greek olive,0.13,1.43,0.91,0.00,0.45,0.19,13.50,110.25
"Olives, black",medium,0.04,0.38,0.24,0.00,0.12,0.05,3.60,29.40
"Olives, green, stuffed",cup,1.53,19.43,5.91,1.23,4.56,2.57,67.62,1969.80
"Olives, green, stuffed",medium,0.04,0.53,0.16,0.03,0.12,0.07,1.84,53.60
Hot pepper sauce,tablespoon,0.18,0.11,0.11,0.02,0.08,0.01,1.69,89.25
"Peppers, pickled",medium,0.16,0.04,1.81,1.37,0.32,0.01,2.00,29.40
"Peppers, hot, pickled","medium (1-1/2"" x 3/4"" x 5/8"")",0.12,0.02,0.93,0.65,0.10,0.00,1.20,67.76
"Pickle, mixed",tablespoon,0.04,0.05,3.58,2.98,0.12,0.01,0.29,82.94
"Radish, pickled, Hawaiian style",tablespoon,0.10,0.03,0.49,0.19,0.21,0.01,2.63,74.17
"Seaweed, pickled",tablespoon,0.13,0.02,3.53,3.20,0.03,0.01,7.14,13.35
"Vegetables, pickled, Hawaiian style",tablespoon,0.10,0.03,0.64,0.26,0.24,0.01,3.67,99.36
Vegetable relish,tablespoon,0.06,0.01,0.76,0.60,0.06,0.00,1.67,38.28
"Vegetables, pickled",tablespoon,0.11,0.02,0.57,0.29,0.19,0.00,2.14,21.32
"Turnip, pickled",slice,0.06,0.01,0.70,0.51,0.11,0.00,1.61,13.37
"Turnip, pickled",tablespoon,0.08,0.01,0.97,0.71,0.16,0.00,2.23,18.53
"Tsukemono, Japanese pickles",tablespoon,0.11,0.02,0.46,0.14,0.22,0.00,3.19,44.77
"Zucchini, pickled",tablespoon,0.11,0.03,0.88,0.73,0.12,0.01,1.91,17.70
"Cream of asparagus soup, prepared with milk",cup,6.30,6.42,16.59,7.17,0.50,2.45,176.08,887.84
Beet soup (borscht),cup,3.33,4.41,12.96,8.33,2.70,2.46,61.25,382.20
Cabbage soup,cup,4.43,2.08,15.34,3.80,3.19,0.41,34.30,578.20
"Cabbage soup, with pork",cup,11.78,3.23,9.70,2.67,1.96,0.80,31.85,641.90
"Cream of cauliflower soup, prepared with milk",cup,7.51,11.90,15.52,10.44,1.24,3.70,225.68,307.52
"Cream of celery soup, prepared with milk",cup,5.70,7.89,14.73,7.99,0.74,2.82,186.00,694.40
"Cream of corn soup, prepared with milk",cup,5.33,2.53,19.96,6.50,1.74,0.97,94.24,684.48
"Cream of corn soup, prepared with water",cup,3.12,4.34,31.67,4.42,1.95,2.42,9.76,453.82
Gazpacho,cup,7.08,0.24,4.39,1.44,0.49,0.02,24.40,739.29
"Leek soup, cream of, prepared with milk",cup,6.80,7.56,18.92,10.81,0.50,2.88,181.04,845.68
"Cream of mushroom soup, prepared with milk",cup,5.75,8.93,14.43,6.82,0.74,2.63,163.68,910.16
"Cream of mushroom soup, prepared with water",cup,1.66,6.54,8.39,0.49,0.98,1.19,19.52,856.40
"Cream of mushroom soup, canned, reduced sodium, prepared with milk",cup,5.56,4.46,16.07,8.95,0.74,2.09,163.68,530.72
"Mushroom soup, made from dry mix",cup,1.67,4.60,11.13,0.46,0.51,0.81,12.65,1019.55
"Onion soup, cream of, prepared with milk",cup,6.80,7.56,18.92,10.81,0.50,2.88,181.04,845.68
"Onion soup, French",cup,17.91,15.91,41.91,5.37,2.89,7.56,320.53,1065.22
"Onion soup, made from dry mix",cup,0.79,0.02,6.81,0.49,0.74,0.01,22.14,851.13
"Pea soup, prepared with milk",cup,12.55,5.26,32.23,14.78,5.08,2.82,175.26,937.26
"Pea soup, prepared with water",cup,8.00,2.73,24.70,7.97,4.75,1.31,30.00,860.00
"Pea soup, canned, low sodium, prepared with water",cup,8.00,2.73,24.70,7.97,4.75,1.31,30.00,25.00
"Vegetable soup, cream of, prepared with milk",cup,9.15,9.60,22.37,15.33,0.74,3.93,297.60,1185.44
"Zucchini soup, cream of, prepared with milk",cup,4.17,1.88,6.75,6.30,0.99,0.91,104.16,468.72
Shav soup,cup,7.44,6.07,9.50,4.15,0.96,1.96,64.80,765.57
Seaweed soup,cup,8.53,3.10,5.52,0.60,0.46,0.74,96.60,1212.05
"Vegetable soup, prepared with water or ready-to-serve",cup,2.75,0.87,19.04,3.76,2.65,0.11,43.38,643.47
"Vegetable soup, canned, low sodium, prepared with water or ready-to-serve",cup,2.65,1.08,14.60,5.18,2.41,0.18,28.92,467.54
"Vegetable soup, made from dry mix",cup,2.93,1.11,8.02,0.91,0.76,0.56,15.18,789.33
"Vegetable soup, made from dry mix, low sodium",cup,2.78,1.14,15.33,5.44,2.78,0.19,30.36,490.80
"Vegetable soup, cream of, made from dry mix, low sodium, prepared with water",cup,18.88,0.52,22.46,12.56,1.30,0.13,332.80,600.60
"Vegetable soup, home recipe",cup,4.26,2.04,14.60,3.49,2.81,0.40,32.76,566.26
"Vegetable noodle soup, home recipe",cup,5.28,2.77,17.64,2.87,2.41,0.58,33.74,686.85
"Minestrone soup, canned, reduced sodium, ready-to-serve",cup,4.78,1.91,21.51,5.09,5.74,0.33,47.80,513.85
"Minestrone soup, home recipe",cup,8.23,2.61,22.77,2.56,4.23,0.55,63.45,615.70
"Vegetable bean soup, prepared with water or ready-to-serve",cup,4.19,2.48,11.09,1.81,0.96,0.53,38.56,629.01
"Vegetable beef soup, prepared with water",cup,5.51,1.88,10.03,1.10,1.95,0.84,19.52,878.36
"Vegetable beef noodle soup, prepared with water",cup,5.51,1.88,10.05,1.10,1.95,0.84,19.52,878.36
"Vegetable noodle soup, prepared with water",cup,2.07,1.90,11.81,3.78,0.72,0.29,24.10,629.01
"Vegetable chicken or turkey soup, prepared with water or ready-to-serve",cup,3.35,2.94,8.63,1.45,0.72,0.87,21.69,906.16
"Vegetable rice soup, prepared with water",cup,5.13,2.82,20.82,5.23,5.78,1.49,60.25,694.08
"Vegetable beef soup with rice, prepared with water or ready-to-serve",cup,5.51,1.88,10.05,1.10,1.95,0.84,19.52,878.36
"Vegetable chicken soup, canned, low sodium, prepared with water",cup,12.29,4.82,21.11,3.42,0.96,1.44,26.51,84.35
"Vegetable chicken rice soup, prepared with water or ready-to-serve",cup,12.32,3.21,13.04,1.45,0.96,0.96,33.74,891.70
"Vegetable chicken noodle soup, prepared with water or ready-to-serve",cup,3.40,2.60,8.00,1.11,0.72,0.75,16.87,783.25
"Vegetable soup with chicken broth, Mexican style ",cup,5.66,6.91,15.08,5.66,1.62,1.22,16.24,494.14
"Vegetable noodle soup, canned, reduced sodium, prepared with water or ready-to-serve",cup,4.88,1.95,21.96,5.20,5.86,0.34,48.80,524.58
"Vegetable beef soup, home recipe",cup,14.12,4.39,9.40,2.46,1.93,1.28,33.74,650.70
"Vegetable beef soup, prepared with milk",cup,9.57,4.24,16.07,7.42,1.98,2.27,163.68,930.00
"Vegetable beef soup with noodles or pasta, home recipe",cup,15.54,4.94,13.69,2.58,1.93,1.43,33.74,669.98
"Vegetable beef soup with rice, home recipe",cup,15.05,4.61,15.35,2.44,1.71,1.34,34.16,673.41
"Vegetarian vegetable soup, prepared with water",cup,2.07,1.90,11.81,3.78,0.72,0.29,24.10,629.01
"Vegetable soup, chunky style",cup,2.74,0.86,18.96,3.74,2.64,0.11,43.20,640.77
"Vegetable soup, with pasta, chunky style",cup,5.11,2.81,20.74,5.21,5.76,1.49,60.00,691.17
"Vegetable beef soup, chunky style",cup,9.53,2.66,24.19,1.61,1.44,1.33,31.20,811.17
"Broth, vegetable",cup,2.09,0.19,1.87,1.08,0.00,0.00,12.00,743.97
Eggplant and meat casserole (Moussaka),cup,15.35,18.98,14.51,5.60,3.45,4.84,93.38,330.87
Eggplant and meat casserole (Moussaka),"piece (3"" x 2"" x 1"")",6.50,8.04,6.15,2.37,1.46,2.05,39.56,140.18
"Vegetable and fruit juice blend, 100% juice (V8 fusion)",cup,0.73,0.02,27.09,25.20,0.00,0.00,19.44,70.47
"Vegetable and fruit juice blend, 100% juice (V8 fusion)",bottle (12 fl oz),1.09,0.04,40.68,37.83,0.00,0.00,29.18,105.79
"Butter, stick, salted",tablespoon,0.12,11.52,0.01,0.01,0.00,7.29,3.41,91.31
"Butter, tub, whipped, salted",tablespoon,0.08,7.62,0.01,0.01,0.00,4.75,2.26,61.95
"Butter, stick, unsalted",tablespoon,0.12,11.52,0.01,0.01,0.00,7.29,3.41,1.56
"Light butter, stick, salted",tablespoon,0.47,7.82,0.00,0.00,0.00,4.87,6.82,63.90
"Light butter, stick, salted",pat (teaspoon),0.16,2.76,0.00,0.00,0.00,1.72,2.40,22.50
"Light butter, stick, salted",stick (1/2 cup),3.73,62.26,0.00,0.00,0.00,38.78,54.24,508.46
"Light butter, stick, unsalted",tablespoon,0.47,7.82,0.00,0.00,0.00,4.87,6.82,5.11
"Light butter, stick, unsalted",pat (teaspoon),0.16,2.76,0.00,0.00,0.00,1.72,2.40,1.80
"Light butter, stick, unsalted",stick (1/2 cup),3.73,62.26,0.00,0.00,0.00,38.78,54.24,40.68
"Light butter, tub, whipped, salted",cup,4.98,83.20,0.00,0.00,0.00,51.82,72.48,679.50
"Light butter, tub, whipped, salted",tablespoon,0.31,5.23,0.00,0.00,0.00,3.26,4.56,42.75
"Light butter, tub, whipped, salted",teaspoon,0.11,1.76,0.00,0.00,0.00,1.10,1.54,14.40
"Margarine, stick, salted",tablespoon,0.02,11.46,0.10,0.00,0.00,2.16,0.43,106.64
"Margarine, stick, salted",pat (teaspoon),0.01,4.04,0.04,0.00,0.00,0.76,0.15,37.55
"Margarine, stick, salted",stick (1/2 cup),0.18,91.19,0.79,0.00,0.00,17.16,3.39,848.55
"Margarine, tub, salted",cup,0.50,181.99,1.70,0.00,0.00,32.29,6.81,1491.39
"Margarine, tub, salted",tablespoon,0.03,11.38,0.11,0.00,0.00,2.02,0.43,93.29
"Margarine, tub, salted",teaspoon (individual container),0.01,3.77,0.04,0.00,0.00,0.67,0.14,30.88
"Margarine-like spread, tub, salted",cup,0.39,136.96,1.97,0.00,0.00,27.68,48.09,1465.60
"Margarine-like spread, tub, salted",tablespoon,0.02,8.55,0.12,0.00,0.00,1.73,3.00,91.52
"Margarine-like spread, tub, salted",teaspoon,0.01,2.86,0.04,0.00,0.00,0.58,1.01,30.66
"Margarine-like spread, liquid, squeeze bottle or spray",tablespoon,0.09,8.40,0.00,0.00,0.00,1.43,2.98,101.25
"Margarine-like spread, liquid, squeeze bottle or spray",spray,0.00,0.18,0.00,0.00,0.00,0.03,0.06,2.14
"Margarine-like spread, tub, light, 50 calories per Tbsp, salted",cup,1.18,87.62,1.53,0.00,0.00,20.04,13.92,1366.42
"Margarine-like spread, tub, light, 50 calories per Tbsp, salted",tablespoon,0.07,5.48,0.10,0.00,0.00,1.25,0.87,85.41
"Margarine-like spread, tub, light, 50 calories per Tbsp, salted",pat (teaspoon),0.03,1.89,0.03,0.00,0.00,0.43,0.30,29.45
"Margarine-like spread, tub, fat-free, salted",cup,0.23,7.08,10.11,0.00,0.00,4.96,18.64,1351.40
"Margarine-like spread, tub, fat-free, salted",tablespoon,0.01,0.44,0.63,0.00,0.00,0.31,1.17,84.68
"Margarine-like spread, tub, fat-free, salted",teaspoon,0.00,0.15,0.21,0.00,0.00,0.10,0.39,28.42
"Butter and margarine blend, tub, salted",tablespoon,0.04,11.41,0.11,0.00,0.00,2.02,1.42,102.10
"Butter buds powder, fat-free ",tablespoon Butter Buds,0.08,0.04,3.38,0.20,0.00,0.02,0.87,45.60
"Butter buds powder, fat-free ",tablespoon Molly McButter,0.12,0.06,5.43,0.32,0.00,0.04,1.40,73.20
"Butter buds powder, fat-free ",teaspoon Butter Buds,0.03,0.01,1.16,0.07,0.00,0.01,0.30,15.60
"Butter buds powder, fat-free ",teaspoon Molly McButter,0.04,0.02,1.78,0.11,0.00,0.01,0.46,24.00
Pork fat or drippings,cup,4.57,188.96,0.00,0.00,0.00,72.94,8.20,1240.19
Pork fat or drippings,tablespoon,0.29,11.80,0.00,0.00,0.00,4.55,0.51,77.44
Pork fat or drippings,teaspoon,0.10,3.96,0.00,0.00,0.00,1.53,0.17,26.02
Lard,cup,0.00,204.99,0.00,0.00,0.00,80.36,0.00,0.00
Lard,tablespoon,0.00,12.80,0.00,0.00,0.00,5.02,0.00,0.00
Lard,teaspoon,0.00,4.30,0.00,0.00,0.00,1.69,0.00,0.00
"Shortening, vegetable",cup,0.00,204.93,0.00,0.00,0.00,51.21,2.05,8.20
"Shortening, vegetable",tablespoon,0.00,12.80,0.00,0.00,0.00,3.20,0.13,0.51
